date,holiday
2019-01-06,Sunday
2019-01-13,Sunday
2019-01-20,Sunday
2019-01-27,Sunday
2019-02-03,Sunday
2019-02-10,Sunday
2019-02-17,Sunday
2019-02-24,Sunday
2019-03-03,Sunday
2019-03-10,Sunday
2019-03-17,Sunday
2019-03-24,Sunday
2019-03-31,Sunday
2019-04-07,Sunday
2019-04-14,Sunday
2019-04-21,Sunday
2019-04-28,Sunday
2019-05-05,Sunday
2019-05-12,Sunday
2019-05-19,Sunday
2019-05-26,Sunday
2019-06-02,Sunday
2019-06-09,Sunday
2019-06-16,Sunday
2019-06-23,Sunday
2019-06-30,Sunday
2019-07-07,Sunday
2019-07-14,Sunday
2019-07-21,Sunday
2019-07-28,Sunday
2019-08-04,Sunday
2019-08-11,Sunday
2019-08-18,Sunday
2019-08-25,Sunday
2019-09-01,Sunday
2019-09-08,Sunday
2019-09-15,Sunday
2019-09-22,Sunday
2019-09-29,Sunday
2019-10-06,Sunday
2019-10-13,Sunday
2019-10-20,Sunday
2019-10-27,Sunday
2019-11-03,Sunday
2019-11-10,Sunday
2019-11-17,Sunday
2019-11-24,Sunday
2019-12-01,Sunday
2019-12-08,Sunday
2019-12-15,Sunday
2019-12-22,Sunday
2019-12-29,Sunday
2020-01-05,Sunday
2020-01-12,Sunday
2020-01-19,Sunday
2020-01-26,Sunday
2020-02-02,Sunday
2020-02-09,Sunday
2020-02-16,Sunday
2020-02-23,Sunday
2020-03-01,Sunday
2020-03-08,Sunday
2020-03-15,Sunday
2020-03-22,Sunday
2020-03-29,Sunday
2020-04-05,Sunday
2020-04-12,Sunday
2020-04-19,Sunday
2020-04-26,Sunday
2020-05-03,Sunday
2020-05-10,Sunday
2020-05-17,Sunday
2020-05-24,Sunday
2020-05-31,Sunday
2020-06-07,Sunday
2020-06-14,Sunday
2020-06-21,Sunday
2020-06-28,Sunday
2020-07-05,Sunday
2020-07-12,Sunday
2020-07-19,Sunday
2020-07-26,Sunday
2020-08-02,Sunday
2020-08-09,Sunday
2020-08-16,Sunday
2020-08-23,Sunday
2020-08-30,Sunday
2020-09-06,Sunday
2020-09-13,Sunday
2020-09-20,Sunday
2020-09-27,Sunday
2020-10-04,Sunday
2020-10-11,Sunday
2020-10-18,Sunday
2020-10-25,Sunday
2020-11-01,Sunday
2020-11-08,Sunday
2020-11-15,Sunday
2020-11-22,Sunday
2020-11-29,Sunday
2020-12-06,Sunday
2020-12-13,Sunday
2020-12-20,Sunday
2020-12-27,Sunday
2021-01-03,Sunday
2021-01-10,Sunday
2021-01-17,Sunday
2021-01-24,Sunday
2021-01-31,Sunday
2021-02-07,Sunday
2021-02-14,Sunday
2021-02-21,Sunday
2021-02-28,Sunday
2021-03-07,Sunday
2021-03-14,Sunday
2021-03-21,Sunday
2021-03-28,Sunday
2021-04-04,Sunday
2021-04-11,Sunday
2021-04-18,Sunday
2021-04-25,Sunday
2021-05-02,Sunday
2021-05-09,Sunday
2021-05-16,Sunday
2021-05-23,Sunday
2021-05-30,Sunday
2021-06-06,Sunday
2021-06-13,Sunday
2021-06-20,Sunday
2021-06-27,Sunday
2021-07-04,Sunday
2021-07-11,Sunday
2021-07-18,Sunday
2021-07-25,Sunday
2021-08-01,Sunday
2021-08-08,Sunday
2021-08-15,Sunday
2021-08-22,Sunday
2021-08-29,Sunday
2021-09-05,Sunday
2021-09-12,Sunday
2021-09-19,Sunday
2021-09-26,Sunday
2021-10-03,Sunday
2021-10-10,Sunday
2021-10-17,Sunday
2021-10-24,Sunday
2021-10-31,Sunday
2021-11-07,Sunday
2021-11-14,Sunday
2021-11-21,Sunday
2021-11-28,Sunday
2021-12-05,Sunday
2021-12-12,Sunday
2021-12-19,Sunday
2021-12-26,Sunday
2022-01-02,Sunday
2022-01-09,Sunday
2022-01-16,Sunday
2022-01-23,Sunday
2022-01-30,Sunday
2022-02-06,Sunday
2022-02-13,Sunday
2022-02-20,Sunday
2022-02-27,Sunday
2022-03-06,Sunday
2022-03-13,Sunday
2022-03-20,Sunday
2022-03-27,Sunday
2022-04-03,Sunday
2022-04-10,Sunday
2022-04-17,Sunday
2022-04-24,Sunday
2022-05-01,Sunday
2022-05-08,Sunday
2022-05-15,Sunday
2022-05-22,Sunday
2022-05-29,Sunday
2022-06-05,Sunday
2022-06-12,Sunday
2022-06-19,Sunday
2022-06-26,Sunday
2022-07-03,Sunday
2022-07-10,Sunday
2022-07-17,Sunday
2022-07-24,Sunday
2022-07-31,Sunday
2022-08-07,Sunday
2022-08-14,Sunday
2022-08-21,Sunday
2022-08-28,Sunday
2022-09-04,Sunday
2022-09-11,Sunday
2022-09-18,Sunday
2022-09-25,Sunday
2022-10-02,Sunday
2022-10-09,Sunday
2022-10-16,Sunday
2022-10-23,Sunday
2022-10-30,Sunday
2022-11-06,Sunday
2022-11-13,Sunday
2022-11-20,Sunday
2022-11-27,Sunday
2022-12-04,Sunday
2022-12-11,Sunday
2022-12-18,Sunday
2022-12-25,Sunday
